Date, PX_LAST 
12/31/07,1382.99
1/31/08,1291.61
2/29/08,1246.39
3/31/08,1238.61
4/30/08,1296.61
5/30/08,1310.27
6/30/08,1197.04
7/31/08,1183.96
8/29/08,1198.45
9/30/08,1087.76
10/31/08,900.08
11/28/08,833.08
12/31/08,840.27
1/30/09,767.83
2/27/09,685.40
3/31/09,745.96
4/30/09,816.54
5/29/09,861.69
6/30/09,863.48
7/31/09,928.47
8/31/09,961.76
9/30/09,997.46
10/30/09,978.61
11/30/09,1037.16
12/31/09,1056.93
1/29/10,1018.58
2/26/10,1049.99
3/31/10,1113.38
4/30/10,1130.77
5/31/10,1040.09
6/30/10,985.00
7/30/10,1053.80
8/31/10,1005.82
9/30/10,1095.69
10/29/10,1137.14
11/30/10,1137.04
12/31/10,1212.58
1/31/11,1241.03
2/28/11,1283.32
3/31/11,1283.42
4/29/11,1321.02
5/31/11,1305.67
6/30/11,1283.64
7/29/11,1257.20
8/31/11,1188.21
9/30/11,1104.75
10/31/11,1225.72
11/30/11,1222.49
12/30/11,1235.45
1/31/12,1290.29
2/29/12,1345.72
3/30/12,1389.74
4/30/12,1380.23
5/31/12,1296.64
6/29/12,1350.18
7/31/12,1368.29
8/31/12,1398.65
9/28/12,1434.20
